index,path,year-month,date,paragraph#,article_title,paragraph,2500Bott,singlebott,bott_list,stage,scarcity,nonuniform_progress,performance_constraints,user_heterogeneity,cognitive,external,internal,coordination,transactional,technical,demand,2500partner,singlepartner,content_production,data_center/storage,Internet_infra,content_distribution,"browsers,_apps_&_smart_devices",advertising,end_users,external_partners,substitutional_partners,length_approx,X,Unnamed:_33,z
104712,./htmls/Factiva-20240114-0325 (1).html,2007 April,2007-04-18 00:00:00,28.0,FEARnet to Host Saw II Director’s Blog; Comcast VOD and    Online  Horror Network Boosts User-Generated- Content  Capabilities,Create and manage custom  video play lists and search for videos with enhanced search capabilities.,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,,,
105112,./htmls/Factiva-20240114-0325 (1).html,2007 April,2007-04-16 00:00:00,73.0,News Corp.: Lift Limits; Programmer Wants Freedom From Access Rules,"EchoStar based its concerns about ongoing financial ties on a few side agreements between News Corp., Liberty, and DirecTV that have not been made publicly available except for their titles.      ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,73.0,,,
105192,./htmls/Factiva-20240114-0325 (1).html,2007 April,2007-04-16 00:00:00,76.0,This Just In,"Currently one of the biggest programmers absent from the lineup is ESPN. SES Americom senior vice president of  media partnerships for Bill Squadron said the company is in negotiations with the sports programmer. “It would be erroneous to say we won’t have ESPN,” he said.      ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,,,
105272,./htmls/Factiva-20240114-0325 (1).html,2007 April,2007-04-16 00:00:00,89.0,"Comcast Signs    Content  Deal with NBC U-News Corp. JV; Pact Involves Comcast.net, Fancast.com, E!, Style, G4, Versus, Golf Channel          ",Comcast raised its hand as the first outside partner that will work with the  online - video -distribution network formed by News Corp. and NBC Universal       http://www.multichannel.com/article/CA6427573.html     .,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,,,
105392,./htmls/Factiva-20240114-0325 (1).html,2007 April,2007-04-16 00:00:00,98.0,What's On,"Citing research data indicating that environmental issues were “part of the DNA” of its brand and audience, Sundance Channel launched “The Green” campaign, consisting of public-service announcements and programming such as the 13-episode  series Big Ideas for a Small Planet , premiering April 17.      ",1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,,,
296746,./htmls/Factiva-20240114-0326 (2).html,2007 April,2007-04-02 00:00:00,1.0,"Bye, Bye iPod. Hello, Handheld Live TV          ","Now, telephone companies such as  Verizon Wireless and AT&T will allow you to watch Jack Bauer save the world on 24 in real time while commuting home on the train. You don't have to wait until the next day to download it to your iPod from iTunes.      ",1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,,,
296786,./htmls/Factiva-20240114-0326 (2).html,2007 April,2007-04-02 00:00:00,3.0,Latino Providers Strike Up the Broadband; Slew of New Services Kick Up    Content  Geared To Hispanics,"No one told that to Gabriel Torres. In spring 2005, he spent $3,000 to start production on syndicated TV show RemixTV , which airs on five LAT-TV affiliates, as well as KDVA-TV, Telemundo's El Paso, Texas affiliate.      ",1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,
296866,./htmls/Factiva-20240114-0326 (2).html,2007 April,2007-04-02 00:00:00,6.0,"Broadcast, Web Should Drive News          ","In addition, Greenfield outlined key issues he urged investors to watch for in the coming months: strong ratings growth at its Fox broadcast network, fueled by shows such as American Idol and Are You Smarter Than a Fifth Grader? ; continued growth at its MySpace social-networking business; continued growth at its Sky Italia and Star TV satellite-television businesses; and the coming launch of its Fox Business Channel.      ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,,,
296946,./htmls/Factiva-20240114-0326 (2).html,2007 April,2007-04-02 00:00:00,9.0,"On-Demand Ads Slip Into    Content ’s Clothing; Programmers, Operators Adopt New Methods To Weave in Messaging          ","For its part, Comcast will begin testing interactive promotions in mid-2007 that link to long-form on-demand advertising, said Warren Schlichting, vice president of new business strategies at  Comcast Spotlight.",1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,,,
297026,./htmls/Factiva-20240114-0326 (2).html,2007 April,2007-04-02 00:00:00,13.0,Playboy Seeks VOD Parity,"Hefner’s argues that Playboy TV, which is more lifestyle-oriented, is different from more explicit channels like Spice and The Erotic Network. She likened the channel to late-night fare on HBO or Showtime.      ",1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,,,
297066,./htmls/Factiva-20240114-0326 (2).html,2007 April,2007-04-02 00:00:00,15.0,Shows May 'Pivot' From DVR to Phone; Service Could Require Retooled    Content  Deals,"Such a service, Alvelda said, would be similar to what    Sling  Media offers with SlingPlayer Mobile, which lets a user watch live or recorded TV on a mobile device. “Except,” he added, “we're paying people for the programming.”      ",1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,
398920,./htmls/Factiva-20240114-0326 (1).html,2007 April,2007-04-09 00:00:00,2.0,"Reaching Out to Diverse Faiths, Viewers          ","But that begs a question: As the  online selection grows and broadband penetration grows, will religious networks and their audiences start spending more time on the Internet than on TV? The debate is particularly intriguing for smaller and newer networks looking for wider distribution.      ",1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,,,
399000,./htmls/Factiva-20240114-0326 (1).html,2007 April,2007-04-09 00:00:00,5.0,"AMC Makes Franchise Play; Rainbow Movie Net Looks to Connect With Structured Approach, Scripted    Series     ","Despite the development investment, Carroll said  series will never constitute more than 10% of AMC's lineup. Besides, the shows look like  movies , according to Collier.      ",1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,,
399160,./htmls/Factiva-20240114-0326 (1).html,2007 April,2007-04-09 00:00:00,16.0,Disney  Inks Big Renewal; Time Warner Pact Encompasses ABC and ESPN,"And  Disney , after years of negotiation, reached terms last November with Comcast on a wide-ranging affiliate accord that included the operator acquiring full ownership of    E! Networks. Comcast also got on-demand access for hit ABC  series and  Disney film -studio titles, consent to retransmit seven owned-and-operated ABC stations and renewals for  Disney networks.  Disney added carriage for SoapNet, got launches for ESPN Deportes and inked an agreement to carry the ESPN HD network.      ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,,,
399200,./htmls/Factiva-20240114-0326 (1).html,2007 April,2007-04-06 00:00:00,20.0,Viewers Love VH1’s New York; Flavor of Love Spinoff Draws    Series -Best 4.8M Viewers,"The finale also scored in the digital realm, as VH1 noted that VSPOT       http://www.vh1.com/vspot     registered close to 1 million  video streams April 2 and 3, and its I Love New York  content on VH1.com       http://www.vh1.com     generated 3 million page views.      ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,,
399240,./htmls/Factiva-20240114-0326 (1).html,2007 April,2007-04-05 00:00:00,27.0,World Poker Tour Moves to GSN; Travel Channel Doesn’t Renew Gambling Show for Sixth Season,"In addition to rights to the sixth season, GSN has options to renew World Poker Tour for a seventh and eighth season. Its license fee of $300,000 per episode would increase by 5% in each future season, according to the agreement disclosed in the SEC filing.      ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,,,
399280,./htmls/Factiva-20240114-0326 (1).html,2007 April,2007-04-05 00:00:00,34.0,Discovery  to Debut    Series Online ;    Discovery  iPremieres to Be Available One Week Prior to Linear-Network Air Dates,"In addition to the shows themselves, iPremieres will also be packaged with taggable bonus material such as best-of clips, outtakes, behind-the-scenes footage and exclusive interviews with hosts, producers and crews.      ",1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,,,
399360,./htmls/Factiva-20240114-0326 (1).html,2007 April,2007-04-04 00:00:00,47.0,"Time Warner Inks    Disney  Deal; Multiyear Pact Covers Retrans for ABC-Owned Stations, ESPN Services,    Disney  Channel, ABC Family          ","George Bodenheimer       http://multichannel.com/article/CA609270.html     , president of ESPN and ABC Sports, added, “Together,    The Walt  Disney Co. and    Time Warner Cable will provide leading sports, family, news and entertainment  content for a fantastic and diverse consumer experience.”      ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,,,
399400,./htmls/Factiva-20240114-0326 (1).html,2007 April,2007-04-04 00:00:00,55.0,MTV to Debut Virtual Pimp My Ride;    Online  Destination Debuts in Conjunction with    Series ’ Season Premiere,"Virtual Pimp My Ride -- which will be available for free download when the show begins airing -- will allow fans “to purchase starter vehicles using MTV dollars, head to the Galpin Auto Sports virtual garages and begin customizing everything from their paint job and hoods to tricked out tires and rims,” MTV said.      ",1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,,,
399480,./htmls/Factiva-20240114-0326 (1).html,2007 April,2007-04-03 00:00:00,72.0,"Joost Fires Up Viacom Shows; Beta Users Can View Fare from MTV,    Comedy Central , BET, Nickelodeon          ",Viacom announced a  content -licensing deal with Joost in February       http://www.multichannel.com/article/CA6417734.html     a few weeks before the  media company filed a $1 billion copyright-infringement lawsuit against  Google ’s YouTube  video -sharing site       http://www.multichannel.com/article/CA6423773.html     .,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,,,
403451,./htmls/Factiva-20240114-0325.html,2007 April,2007-04-27 00:00:00,2.0,Hearst-Argyle Drives Increase in Retransmission-Consent Revenue; Station-Group Owner Collects $5.2M from Pay TV Providers in First Quarter,"Hearst-Argyle didn’t break out revenue from its Ripe Digital Entertainment       http://www.multichannel.com/article/CA6379175.html     investment, in which it owns a 25% equity stake. Ripe owns youth oriented  video - on - demand programming services RipeTV       http://www.multichannel.com/article/CA420233.html     , OctaneTV       http://www.octanetv.com     and FlowTV       http://www.flowtv.org     .      ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,,,
403851,./htmls/Factiva-20240114-0325.html,2007 April,2007-04-23 00:00:00,71.0,"CNN, Travel + Leisure Team Up on Survey;    Farmers Insurance Group Aboard as Corporate Sponsor          ","The ad package will include integrated billboards around daily features on Robin & Company and Prime News with Erica Hill       http://www.cnn.com/CNN/Programs/prime.news     teasing the launch of the survey in April, as well as around continuing on-air coverage of the cities and survey results through October. The ad package will have tagged tune-ins and integrated billboards on-air, with banner ads and messaging on CNN.com and CNN Exchange where viewers will be encouraged to post their own experiences and vacation stories for possible use on-air.      ",1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,71.0,,,
404091,./htmls/Factiva-20240114-0325.html,2007 April,2007-04-23 00:00:00,82.0,WWE’s Vince McMahon: Putting a Headlock on PPV Success,"VM: Pay-per-view remains a significant part of WWE’s business portfolio. We see tremendous future growth for WWE  content on VOD, broadband and mobile platforms. There remains a strong appetite for more WWE  content on cable, as we demonstrated with the successful introduction of ECW on the Sci Fi Channel and the success of WWE 24/7 On Demand.   ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,,,
404131,./htmls/Factiva-20240114-0325.html,2007 April,2007-04-23 00:00:00,83.0,HBO Punches Up Ring Promos; Premium Net Casts De La Hoya As a Knockout Pay-Per-View Star,"Finally, Bally Fitness Centers will produce and display fight-specific posters in all of its 385 locations leading into the event.      ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,,,
404331,./htmls/Factiva-20240114-0325.html,2007 April,2007-04-23 00:00:00,93.0,This Just In,"The deal includes 56 TV stations (including 18 digital simulcast stations) in 24 markets, the stations’ associated Web sites, Clear Channel’s Television Operations Center, and Inergize Digital  Media , which manages the Television Group’s  online and wireless initiatives. The deal is expected to close in the fourth quarter.      ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,,,
404411,./htmls/Factiva-20240114-0325.html,2007 April,2007-04-23 00:00:00,98.0,Ads for HD Can Be In DirecTV’s Future; U.S. Court Denies Time Warner Cable’s Injunction Request,"For now, DirecTV can continue to promise that it will “soon” have the capacity to offer three times more high-definition channels than cable, after a federal judge last week denied Time Warner Cable’s request to impose an injunction barring DirecTV from running its Back to the Future ads.      ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,,,
404451,./htmls/Factiva-20240114-0325.html,2007 April,2007-04-23 00:00:00,100.0,BET Calls for More Originals; Largest-Ever Slate Of Shows Includes Scripted    Series,"Other new shows include The 5ive , a weekly  series that will showcase the five hottest things happening in news and entertainment; Hell Date , a reality/game show that provides unsuspecting contestants what they say they want in a soul mate; Judge Mooney , starring comedian Paul Mooney as a celebrity judge who will rule on real cases; Sunday Best , an American Idol -esque show that will provide undiscovered gospel singers a chance at fame and Exalted! , a biography  series spotlighting a different inspirational leader each week.      ",1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,,
24210,./htmls/Factiva-20240114-0310 (2).html,2007-12-01 00:00:00,2007-12-31 00:00:00,55.0,The New Mainstream; Emerging    video  platforms are helping rather than hurting TV channels,"Linear TV and digital are growing together,” added Mika Salmi, president of global digital  media at    MTV Networks, pointing to the fact that viewing levels have remained strong at their networks, while traffic on MTVN's 300 Web sites increased to 90 million in October of 2007, up from 68 million a year earlier.      ",1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,,,
24410,./htmls/Factiva-20240114-0310 (2).html,2007-12-01 00:00:00,2007-12-31 00:00:00,57.0,"Growing Up Wired; Kids have embraced new    media , but they have not abandoned linear TV or 30-second spots          ","Teens are also heavy users of digital  media . A survey on cross-platform viewing habits conducted by    E! Networks found that 32% of the 13-to-17-year-old demo had watched a TV show  online in the last six months, higher than 27% for the 13 to 49 adult population they surveyed.      ",1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,,,
24570,./htmls/Factiva-20240114-0310 (2).html,2007-12-01 00:00:00,2007-12-31 00:00:00,59.0,Inside Grown-ups' Heads; Adults that have long comprised the mass-market TV audience are increasingly difficult to characterize,"Tayna Giles, senior vice president of research and planning at the MTV Networks Entertainment Group, added that “they are bigger  online shoppers than younger demos, and they are spending more and more time  online .”      ",1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,,,
24930,./htmls/Factiva-20240114-0310 (2).html,2007-12-01 00:00:00,2007-12-26 00:00:00,80.0,iTunes to Offer Fox Movie Rentals,"The deal would mark the first time that Apple extends its FairPlay digital rights management system beyond its own products, FT said. Consumers would be able to rent Fox  movies , and view them for a limited time.      ",1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,80.0,,,
56147,./htmls/Factiva-20240114-0311.html,2007-12-01 00:00:00,2007-12-17 00:00:00,11.0,30% Cap On Tap; FCC To Consider New Restriction at Dec. 18 Meeting,"Time Warner Cable — with 13.3 million subscribers, or 14% of the 96.9 million pay TV subscriber universe — has a lot more headroom under the cap than Comcast.",1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,69.0,,,
56907,./htmls/Factiva-20240114-0311.html,2007-12-01 00:00:00,2007-12-17 00:00:00,40.0,Rob Marcus's Rise; Time Warner Cable's Next CFO,"To this day I think the resolution of TWE was attributed to Rob,” said former Time Warner CFO Richard Bressler, the man who brought Marcus to Time Warner in 1998. “In my mind, if you did nothing else in that job but unwind that, you've earned your keep.”   ",1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,,,
57147,./htmls/Factiva-20240114-0311.html,2007-12-01 00:00:00,2007-12-12 00:00:00,76.0,"MTVN Widens    Online  Play With AOL;    Content  to Include Clips from    Comedy Central , MTV, Nickelodeon and VH1          ","MTVN also offers  video through its own group of roughly 300 Web sites, including TheDailyShow.com       http://www.multichannel.com/article/CA6492476.html, which     hosts more than 13,000 clips dating back to 1999.      ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,76.0,,,
350736,./htmls/Factiva-20240114-0312.html,2007-12-01 00:00:00,2007-12-03 00:00:00,92.0,The Pay-Per-View Prize,"Just last week, In Demand declared it’s teamed with the Metropolitan Opera to deliver eight performances from the renowned opera house on an on-demand transactional basis beginning in January.      ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,92.0,,,
350776,./htmls/Factiva-20240114-0312.html,2007-12-01 00:00:00,2007-12-03 00:00:00,93.0,"From Here to Inevitability; Demand For    Video On Demand  Is Up. But Kinks Remain Before TV is “All VOD, All the Time.''          ","Right now,  Comcast and  Time Warner Cable are trying to figure out a model that works, testing limited amounts of ABC, CBS, NBC and Fox programming on-demand in a few markets.   ",1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,,,
350856,./htmls/Factiva-20240114-0312.html,2007-12-01 00:00:00,2007-12-03 00:00:00,94.0,Fitting On the HD Shelf; Programmers Vie for Space as Cable Works to Unlock Bandwidth,"National Geographic Channel HD, meanwhile, is at 100% for its primetime shows and in the “90s” for virtually all dayparts, said acting general manager Steve Schiffman. All of the network’s original programming has been produced in HD since February 2005.      ",1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,,,
