stage,index,year,version,page,Article_Name,length_of_article,paragraph,2500Bott,Bottid,singlebott,bott_list,scarcity,nonuniform_progress,performance_constraints,user_heterogeneity,cognitive,external,internal,coordination,transactional,technical,demand,2500partner,singlepartner,content_production,data_center/storage,Internet_infra,content_distribution,"browsers,_apps_&_smart_devices",advertising,end_users,external_partners,substitutional_partners,Unnamed:_34,Unnamed:_0,Unnamed:_35
0.0,600,2007,February-2007-(Sourcebook),95,"Five Questions: Shopping for Video Hosting ■Dan Rayburn Before you sign a contract, make sure you get answers to these questions.",25,"2.What formats does the serviceprovider support? When it comes to providers, some support all of the formats, some support some of the formats, and some only one of the formats. Rarely does any one provider support streaming of content in Windows Media, Flash, QuickTime, and Real formats. While it may seem odd that they don’t support all of the formats, there may be a logical explanation. If a provider is only going after a specific vertical or industry, for instance the webcasting space, chances are they don’t yet support Flash Video, since the Flash Video platform is not yet used frequently for live streaming delivery. Or a provider may not support a particular format because the format provider will not allow them to unless they are certified and licensed to do so. Providers should be upfront and honest about what they support today and what they may support down the road. On Microsoft’s and Adobe’s websites, you can see who is certified to provide delivery services in both of their formats. ",1,"5, 8",0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
0.0,640,2007,February-2007-(Sourcebook),99,"Ten Questions: Signing a Service Level Agreement ■Nicole McLane Before you even think about signing an SLA, make sure you get solid answers to all of these questions.",67,Often times enforcement of compensation is overlooked and reimbursement isn't enforced because the technology management and accounting teams aren't able to communicate in a way that makes sense to each other. Account management may not be able to understand a network performance chart or have the acumen to translate metrics into a financial equivalent.,1,"1, 8",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1.0,720,2007,February-2007-(Sourcebook),105,Ten Questions: When is Your Content Ready to be Monetized? ■Tejpaul Bhatia Independent producers and established media companies both need to examine the same issues before they try making money off their video.,47,"Expo TV president Bill Hildebolt tells us that “content needs to have several attributes to be monetized by advertising, including a critical mass of viewers and a definable viewing demographic that is of interest to advertisers.”",1,"20, 19",0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,
2.0,780,2007,February-2007-(Sourcebook),116,Writing useful metadata for audio and video files,77,"These days, we all create and consume metadata. In other words, the user-generated video revolution has pointed out for the rest of us what media companies have known for some time: That it is important to gather all these media assets into a content management system so they can control the different versions, formats, and rights issues. Then they can effectively realize the monetary value of those assets.",1,27,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
0.0,1060,2007,February-2007-(Sourcebook),143,"Selecting the Right Codec ■Jan Ozer There’s no one-size-fits-all answer, but if you ask the right questions, you’ll find the video format that’s best for your needs.",62,"Flash is the only player that doesn’t have a simple facility for storing the file to hard disk for later playback. For example, with the QuickTime player, you right-click and choose Save As, so the kiddies can see the new Disney trailer as many times as they’d like without re-downloading. To do the same in Flash, you’d have to design a custom player, which is beyond the capabilities of many small companies.",1,7,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,
0.0,1080,2007,February-2007-(Sourcebook),144,"Selecting the Right Codec ■Jan Ozer There’s no one-size-fits-all answer, but if you ask the right questions, you’ll find the video format that’s best for your needs.",62,"Though Real’s popularity seems to be dropping fast, its quality is still the best, especially at lower data rates.",1,2,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,
0.0,1100,2007,February-2007-(Sourcebook),148,"Choosing the Right Video Capture Card ■Tim Siglin For both live and on-demand content, proper capture is key for successful delivery.",54,"Based on that information, John calculates that he can safely send a 400Kbps stream to 4 viewers, if each one is watching the same video format (in the instance of the TriCaster Pro, it would be limited to Windows Media). The calculation is 400Kbps x 4 = 1600Kbps, or just over 1.6Mbps. This provides adequate bandwidth overhead to compensate for a drop in upload speed, an occasional church worker sending out small emails, or any other programs that might be running on one of the church’s machines. If John finds out that one of the guests requires Real or QuickTime to view the wedding, though, he will have to use one of the four potential streams for that format and may need to hire space on a streaming server for a block of time during the wedding to accommodate the use of a different format or additional viewers.",1,2,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0.0,1240,2007,February-2007-(Sourcebook),168,"Integrating Webcasting Into Marketing ■Paul Ritter From pharmaceuticals to telcos, more and more organizations are using video to make their message memorable.",19,"Abacast The best stream! at the best price! Abacast’s unique Distributed Streaming technology makes it possible to deliverthe highest quality stream with unparalleled scalability at the lowest costs.Up to 98% less expensive. Our closely monitored streaming network also delivers end-to-end Quality of Servicemonitoring and detailed real-time statistics.Abacast technology is the corner stone of a full service CDN product offering that also includes live and on-demand Streaming, Ad/Content Injection, Digital Rights Management, Podcasting, cellular streaming, complete subscription systems, high-end audio processing/streaming cards, audio and video encoding software, custom media player/web design and 24 by 7 premium service, education, and support.",1,"2,3,5",0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,
0.0,1300,2007,February-2007-(Sourcebook),174,The Streaming Media Industry Sourcebook Showcase Directory,114,"FLV Hosting FLV Hosting was formed to provide low cost FLV hosting and to simplify video broadcasting. Choose from our off the shelf delivery systems, or allow us to provide a custom solution for you.",1,5,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0.0,1320,2007,February-2007-(Sourcebook),176,The Streaming Media Industry Sourcebook Showcase Directory,114,"Ignite Technologies, privately-held and headquartered in Frisco, Texas, provides the industry’s most secure and scalable Content Delivery Solution enabling customers to efficiently publish, deliver and manage digital assets—from rich media content for communications and training to software patches and virus updates—to anyone, anywhere, at any time. Ignite's patented Content Delivery Solution overcomes network and connectivity constraints that have limited the ability to reach online audiences with the highest quality, secure rich media. Ignite's Solution has been deployed across hundreds of thousands of users around the globe at companies like Accenture, BearingPoint, Sabre, and Proctor & Gamble.",1,"8,2",0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
0.0,1380,2007,February-2007-(Sourcebook),184,Advertiser’s Index,16,"Qbrick, the European Choice for Global Streaming, is the only B2B Full Service Provider within Streaming Media Solutions in Scandinavia. With Qbrick you can take advantage of high-quality, reliable streaming services. Use your intranet to communicate with video and audio or use the Web or 3G to deliver a superior user experience, reach worldwide audiences and launch new communicationinitiatives. Whether it's on demand or live broadcast Qbrick streams content flawlessly. Qbrick CDN (Content Delivery Network) supports all media formats including Windows Media, Real, QuickTime, Flash, MPEG4, MP3 and 3GP. Keynote, the Internet Performance Authority, have rated Qbrick CDN A+",1,"2,5",0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,
0.0,160,2007,December-2007-January-2008,37,Streaming Video Goes to College RON MILLER . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,51,"With so many choices out there, from WindowsMedia to Real to QuickTime to Flash, the format choice depends on many factors. In some instances, the video administrators encode the video in multiple formats to ensure that students can view it regardless of their individual computer setups.",1,5,1,0.0,,,1.0,1.0,,,,,,,1.0,1,1.0,,1.0,,,,,,,,,,
1.0,240,2007,December-2007-January-2008,50,The Search Is On: New Approaches Mean Video Search Might Finally Take Off RON MILLER . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,52,"Not surprisingly, Ives agrees, saying that using voice recognition technology can more accurately match ads to the content of the file. Laatz concurs and believes that ad revenue over the next 5 to 10 years will flow from other areas such as print, TV, and radio to online video ads, and he predicts that the numbers could be in the $5–$10 billion range in overall revenue from multimedia text ads.He also points out that, “There will, of course, be some growth, but the pace of reallocation will far exceed the growth of the ad space just as it has happened with the emergence of online ads.”",2,"20, 15",0,0.0,,,1.0,,,,,1.0,,,,1,1.0,,,,,,1.0,,,,,,
0.0,320,2007,December-2007-January-2008,66,Express Yourself: Getting to Know Microsoft Silverlight’s Expression Encoder JAN OZER . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,52,"Even if you don’t make the switch to Silverlight, thereare several valid reasons for Windows Media producers to consider Expression Encoder.For example,Expression Encoder can import QuickTime files, whichis great if you’re producing in Compressor, After Effects,or Premiere Pro on the Mac.The Expression Encodercan batch encode multiple files, and it is compatible withcompression acceleration co-processors from Tarari.",3,5,1,0.0,,,1.0,,,,,,,1.0,,1,1.0,,1.0,,,,,,,,,,
0.0,480,2007,December-2007-January-2008,95,TechSmith Camtasia 5 JAN OZER ,206,"Looking back, 2007 has been a pivotal year for the indurty and one laden with milestones for us here at Sonic Foundry. The year started brilliantly with analyst recognition that webcasting had evolved into a valuable communication medium with growing wide-spread use and increasing adoption in the years ahead. Perhaps reflecting this phenomenon, we were honored by several organizations as one of the fastest growing software companies, and Mediasite was voted Best Webcasting Platform and Best Webcasting Appliance by the readers of this very magazine. It has been a great year.",4,8,1,0.0,,1.0,1.0,,,,,,,1.0,,1,1.0,,1.0,,,,,,,,,,
0.0,560,2007,December-2007-January-2008,102,TechSmith Camtasia 5 JAN OZER ,206,Do you remember the old dot-com days when the conventional wisdom was that brick and mortar businesses would collapse at the hands (or keyboards) of the e-business start-ups? Instead what happened was successful businesses embraced the internet to enhance their workflows and entirely new business models emerged enabled by the web.,5,"10, 7",0,0.0,,1.0,,,,,1.0,,,1.0,,0,,,,,,,,,,,,,
0.0,600,2007,December-2007-January-2008,106,TechSmith Camtasia 5 JAN OZER ,206,"Over the past 10 years I've seen a lot of thingshappen in this industry and it’s the people, like thosefeatured here, that have shaped it, one day’s work ata time.It’s hard to believe that Streaming Media’s10th anniversary is this year— 2008.Along the wayI’ve met a lot of inspiring thought leaders who’venever given up on this industry.Some of these peopleare new to me and the industry, and some I’ve knownfor almost as long as Streaming Media’s been around.All of us, that I like to call “a community”, have asomething binding going into 2008 that we’ve neverhad before, without skepticism—real opportunity.The opportunity to be involved in changing theworld.The way we work, the way we are entertained,the way we communicate ...the way we share.",6,"1, 8",0,0.0,,1.0,,,,,1.0,1.0,,,,0,,,,,,,,,,,,,
0.0,140,2007,June-July-2007,32,Cookin’ With P2P: RECIPE FOR SUCCESS OR FLASH IN THE PAN? RON MILLER . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,49,"Whatever the method, and whatever the definition, P2P vendors need to cross several barriers to persuade content owners to use P2P. These companies need to be able to prove that they can overcome the security issues of earliergeneration P2P content delivery, that they can provide meaningful business analytics information—so content owners can track information about the use of their content—and that they can monetize the entire process both for themselves and the content owner. Finally, and perhaps most importantly, they have to develop a seamless and simple process for consumers. None of this is easy, but there are lots of companies betting on P2P as a cheaper delivery option for long-form video, and content owners are beginning to listen.",1,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0.0,180,2007,June-July-2007,39,Cookin’ With P2P: RECIPE FOR SUCCESS OR FLASH IN THE PAN? RON MILLER . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,49,"The evolution towards delivery of large digital assets, like software, gaming and movie files, threatens to change things. As these precious digital assets are made available for business on the Internet, these “one-size fits all,” traffic-based models must evolve.",1,2,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0.0,220,2007,June-July-2007,47,"Shooting For Streaming, Part 4: PROGRESSIVE VS. INTERLACED JAN OZER . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",43,"Overall, it takes the confluence of factors to actually see the benefit of shooting in progressive mode as opposed to interlaced. That is, you need high-motion video with sharp detail shot at a very high shutter speed, along with video delivered at a resolution large enough and data rate high enough to show off and preserve the quality differences.",1,"2,5",0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
0.0,260,2007,June-July-2007,54,"Streaming vs. Progressive Download DOUG MOW, TOM GILLEY, AND DANE ATKINSON. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",35,"These web video publishers need to embrace and leverage complex technologies but often do not have the technical expertise to match the need. Those organizations require partners with fullfeatured solutions that make their entry into this technology quick, smooth, and painless. And even organizations with solid video and IT support find themselves facing tough choices. Right at the top of the list is whether streaming or progressive download is a better delivery mode for their content.",1,5,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0.0,280,2007,June-July-2007,59,"Streaming vs. Progressive Download    DOUG MOW, TOM GILLEY, AND DANE ATKINSON. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",35,"A Brief History of Video Delivery Protocols In the 1980s, standards for audio/video encoding products for consumers first became available with videoconferencing systems using such standards as H.320 for videoconferencing over ISDN and H.324 for video conferencing over plain old telephone service (POTS).",1,5,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1.0,300,2007,June-July-2007,62,"It’s Not Your Father’s TV, Part 2: WHAT CONTENT OWNERS ARE THINKING GEOFF DAILY. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",69,"And taking that thought even further: “The challenge is about what’s the sort of product or service, what’s the consumer proposition that your content enables, and what’s the business model surrounding it, whether that happens to land on a box in the den or a box in the living room,” says Glotzer. “The value of an impression, for example, is not greater or lesser on the two-foot interface than the ten-foot interface.”",1,15,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0.0,320,2007,June-July-2007,66,"It’s Not Your Father’s TV, Part 2: WHAT CONTENT OWNERS ARE THINKING    GEOFF DAILY. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",69,"And with all the new opportunities coming online to reach the TV, it’s full steam ahead with trying to exploit their potential. “We’ve proven that we’ve created a stable, reliable, convenient environment for the consumer to obtain digital content. Now we’re finding ways to take that service to as many platforms as we can—that includes our relationship with Intel Viiv, the Media Center PC, as well as through extenders. Also this year we’re going to offer download-to-burn. And at CES we spent a lot of time meeting with potential new partners,” says Ramo.“ We’re looking at every angle possible.” ",1,"6,7,8",0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,
0.0,360,2007,June-July-2007,69,"It’s Not Your Father’s TV, Part 2: WHAT CONTENT OWNERS ARE THINKING    GEOFF DAILY. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",69,"And in preparation for this oncoming deluge of demand, it behooves content owners/producers/aggregators to at the very least dip their toes into the water so that when this demand does materialize they can be ready to take full advantage of these exciting new inroads and finally begin to deliver IP content to living rooms across the country.",1,"6, 2",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,
0.0,380,2007,June-July-2007,72,The Right Profile: MICROSOFT IS WHISTLING A NEW TUNE WITH RECENT UPGRADES TO ITS WINDOWS MEDIA VIDEO PROFILES. SHOULD YOU MAKE THE SWITCH? JAN OZER . . . . . . . . . . . . . . . . . . . . . . . . . . . .,117,"What’s New from Microsoft What’s new are updated codecs released in November 2006 with Windows Media Player 11. In his article, “Best Practices for Windows Media Encoding” (2007 Streaming Media Industry Sourcebook, pp. 122–128), Ben Waggoner described how to get those codecs, which ship with Microsoft Vista and can be accessed by updating to Windows Media Player 11 or by installing the Windows Media Format SDK 11. Waggoner details the relationship between VC-1 and Windows Media 9 in that article, and also in the interview available on our website. To make sure we’re on the same page, let me summarize them here.",1,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0.0,460,2007,June-July-2007,82,The Right Profile: MICROSOFT IS WHISTLING A NEW TUNE WITH RECENT UPGRADES TO ITS WINDOWS MEDIA VIDEO PROFILES. SHOULD YOU MAKE THE SWITCH? JAN OZER . . . . . . . . . . . . . . . . . . . . . . . . . . . .,117,"Table 1 shows a summary of the results. Overall, since lower scores are better, Flash edged out Apple’s H.264 for top quality, 1.39 to 1.72. However, as you can see, Flash scored 106 total points to 100 for WMV-9 AP and H.264. It’s nice being first and all, but with this small a difference, you have to wonder if anyone will notice. As it turns out, analyzing each category separately put a different spin on the issue. So let’s jump in. ",1,5,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
0.0,520,2007,June-July-2007,92,New Kids in Town: ADOBE MEDIA PLAYER AND MICROSOFT SILVERLIGHT TAKE ONLINE VIDEO INTO NEW TERRITORY ERIC SCHUMACHER-RASMUSSEN. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,54,"As such, it’s an outgrowth of a major change in Microsoft’s strategy and corporate culture, says Microsoft's Sean Alexander.“Rather than have a single organization [within Microsoft] thinking about digital media, the entire company needed to think about it,” he says, “much in the same way that ten years ago the entire company needed to start thinking about the internet.”That Silverlight is coming out of the company’s servers and tools division suggests the degree to which hardware may play a role in the technology’s future.",1,"8, 10",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
0.0,540,2007,June-July-2007,94,New Kids in Town: ADOBE MEDIA PLAYER AND MICROSOFT SILVERLIGHT TAKE ONLINE VIDEO INTO NEW TERRITORY ERIC SCHUMACHER-RASMUSSEN. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,54,"The fact that Flash Video can be both streamed from a Flash Media Server and delivered via progressive download from an HTTP server has long been one of its strong points, and counters the argument that high licensing fees make delivering Flash Video cost-prohibitive. “One gigabyte of Flash Video is going to cost the same as one gigabyte of WMV or MOV when delivered progressively,” notes Richter. “Plus, the Flash Media Server is a very versatile server that’s capable of serving up much more than just video streams.”",1,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
