stage,year,page,article name,length of article,paragraph,2500bott,Bottid,singlebott,scarcity,nonuniform_progress,performance_constraints,user_heterogeneity,cognitive,external,internal,coordination,transactional,technical,demand,2500partner,singlepartner,content production,data center/storage,internet infra,content distribution,"browsers, apps & smart devices",advertising,end users,external partners,substitutional partners
2,2023.0,0,0,0,"In a deal that would shake up the  media business,  Warner Bros.   Discovery CEO David Zaslav has reportedly discussed a possible merger with  Paramount Global .",0,28,1,0,1.0,0,0,0,0,0,0,1.0,0,0,1.0,0.0,1.0,0,0,1.0,0,0,0,0,0
2,2023.0,0,0,0,"Zaslav assembled Warner Bros.  Discovery starting out as CEO of   Discovery Communications , a smaller cable networks company.   Discovery acquired Scripps Networks Interactive and then  WarnerMedia .",0,28,1,0,1.0,0,0,0,0,0,0,1.0,0,0,1.0,0.0,1.0,0,0,1.0,0,0,0,0,0
2,2023.0,0,0,0,"Warner Bros.  Discovery might have a different approach, using Paramount’s assets to buttress its own units, including its Max  streaming service, CNN and WBD Sports.",0,28,1,0,1.0,0,0,0,0,0,0,1.0,0,0,1.0,0.0,1.0,0,0,1.0,0,0,0,0,0
1,2023.0,0,0,0,"The big viewership on Max is good news for AT&T, Olay, Shipt and  Adobe , which bought Barbie sponsorship packages. It was unclear how many of Max’s viewers were on the ad-supported plan.",0,20,1,0,0,0,1.0,0,0,0,0,0,0,1.0,1.0,0.0,1.0,0,0,1.0,0,0,0,1.0,0
1,2023.0,0,0,0,WCVB got regional Emmy Awards in 10 categories this year and helped raise more than $37 million for charities through station-sponsored events.,0,"17,23",0,0,0,1.0,0,0,1.0,0,1.0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,1.0,0
0,2023.0,0,0,0,"Under Symson, Scripps has been leaning into linear television, particularly over-the-air broadcasting.  Buying Ion, with its national footprint, gave Scripps more stations, more spectrum and more coverage.",0,2,1,0,0,1.0,0,0,0,0,0,0,1.0,0,1.0,1.0,0,0,1.0,0,0,0,0,0,0
1,2023.0,0,0,0,Adam Symson with WNBA commissioner Cathy Engelbert. Scripps added games from the league to its Ion network’s schedule as part of its plan to heavy up on sports   content . (Image credit: Mike Lawrence/NBAE via Getty Images),0,17,1,0,0,1.0,1.0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,1.0
2,2023.0,0,0,0,"Ray Hopkins, president of U.S. Networks Distribution at Paramount , observed that Scripps has always taken a lot of pride in its local journalism.",0,25,1,0,0,0,1.0,0,0,0,0,0,0,1.0,1.0,0.0,1.0,0,0,1.0,0,0,0,0,0
2,2023.0,0,0,0,"We have opportunities in datacasting and there are two generations now who don’t actually know you can get free TV, so introducing the notion of over-the-air television and the launch of the new Tablo digital  video recorder are very exciting for us,” she said.",0,29,1,0,0,1.0,1.0,0,0,0,0,0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,2023.0,0,0,0,"Cheryl Fair, KABC’s president and general manager , said Ono’s work behind the desk is equally vital, especially when handling breaking news. “David carries us through untested waters,” she said. “David puts things in context, explaining them in a way that we can feel like we’re part of what’s happening and that we understand what’s going on.”",0,1,1,0,0,1.0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0
1,2023.0,0,0,0,The apps also enable Tegna’s stations to deliver developing stories without interrupting broadcast programming.,0,18,1,0,0,1.0,0,0,0,0,0,0,1.0,0,1.0,1.0,0,0,0,0,1.0,0,0,0,0
0,2023.0,0,0,0,"Smith knows the market well. She was named KCCI news director in 2018, the first woman in that role. After graduating from Drake University in Des Moines, Smith got her start at KCCI as a producer, then moved on to newsrooms in Columbus, Ohio, and Pittsburgh before heading back to Des Moines.",0,1,1,0,0,1.0,0,0,0,1.0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,0,0,0
2,2023.0,0,0,0,"This is Detroit, a major market,”  Wendy McMahon, president and CEO of CBS News and Stations and CBS   Media Ventures , said. “How do we not have news? How are we not serving the local viewer in that market?”",0,25,1,0,0,0,1.0,0,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0
2,2023.0,0,0,0,Xumo is designed to protect cable’s core broadband product and maintain its prominent position on the home screen while gathering all of the rich data that targeted advertisers so crave these days.,0,29,1,0,0,0,0,0,0,0,1.0,0,0,0,1.0,1.0,0,0,0,0,0,1.0,0,0,0
2,2023.0,0,0,0,"An October 2023 Next TV  review of the Xumo Stream Box plug-in device noted that while lack of second-tier apps was still problematic, “the Stream Box could be the Trojan Horse that ultimately extends Big Cable’s control of the connected living room.”",0,28,1,0,0,1.0,0,0,0,0,0,1.0,0,0,1.0,0.0,0,0,0,1.0,1.0,0,0,0,0
"0,1",2023.0,0,0,0,Attorneys representing  MLB commissioner Rob Manfred told U.S. Bankruptcy Judge Chris Lopez that they were dropping their motion to have Diamond accept or reject the existing local TV rights deals for each club.,0,"16,11",1,0,1.0,0,0,0,0,0,0,1.0,0,0,1.0,0.0,0,0,0,0,0,0,0,1.0,1.0
0,2023.0,0,0,0,"Already the Federal Communications Commission’s busiest docket,  the effort to restore network neutrality rules saw a rush of new comments Thursday (December 14), the deadline for initial submissions by interested parties looking to affect the outcome of the proceeding.",0,11,1,0,1.0,0,0,0,1.0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,1.0,0
0,2023.0,0,0,0,"On the other side, INCOMPAS, which represents competitive carriers and some high-profile edge providers, said the FCC should definitely reclassify internet access as a telecommunications service and reinstitute net neutrality rules “to ensure that residential and small business customers throughout the United States have access to an open internet so that they can access the lawful  online content , applications, and services of their choice.”",0,11,1,0,1.0,0,0,0,1.0,0,0,0,0,1.0,1.0,0.0,0,0,0,0,1.0,0,0,1.0,0
2,2023.0,0,0,0,"One of the best parts about the movie-watching experience is to get with your friends to talk about your favorite actors, the best lines, the biggest action scenes and more,” Turner Networks president Jason Sarlanis said in a statement. “With Friday Night Vibes, we’re creating that experience with the brilliant and hilarious Nina Parker and Kevin Fredericks whose wealth of pop culture and  film knowledge, mixed with their amazing charisma and humor, will create a fun and lively watch-along experience for  film fans every month.”",0,25,1,0,0,0,1.0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0
2,2023.0,0,0,0,Tucci — Heart of Italy’ explores the complexity of Italy through its cuisine,0,25,1,0,0,0,1.0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0
2,2023.0,0,0,0,Gift of a Lifetime is the network’s annual initiative that picks a single deserving woman and thanks her for her selflessness during the year.,0,25,1,0,0,0,1.0,0,0,1.0,0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0
2,2023.0,0,0,0,"E.W. Scripps said it has launched a national ad campaign for  Tablo , its device that enables whole-home recording and viewing of over-the-air broadcasts and free ad-supported  streaming channels.",0,29,1,0,0,1.0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,1.0,0,0,0,0
0,2023.0,0,0,0,Providers call move illegal rate regulation that hurts competition with unregulated streamers,0,11,1,0,1.0,0,0,0,1.0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,1.0,0
0,2023.0,0,0,0,"NCTA also pointed out to the FCC before the vote that the Biden executive order had not proposed banning all early termination fees, just those that were unjust or unreasonable.",0,11,1,0,1.0,0,0,0,1.0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,1.0,0
0,2023.0,0,0,0,"Rosenworcel did use the term “restrict” rather than “ban” when discussing the relevant fees, so it was unclear just how the final item would come down on whether the fees were unfair and unreasonable on their face, or as applied unfairly and unreasonably.",0,11,1,0,1.0,0,0,0,1.0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,1.0,0
1,2023.0,0,0,0,"In the fi0ce category, insurance companies such as Geico, State Farm and Progressive cut their  streaming spending by 74% to $32.5 million from $123 million a year ago.",0,20,1,0,1.0,0,0,0,0,0,1.0,0,0,0,1.0,1.0,0,0,0,0,0,1.0,0,0,0
2,2023.0,0,0,0,Deal will enable local advertisers to reach new audiences,0,25,1,0,0,1.0,0,0,0,0,1.0,0,0,0,1.0,1.0,0,0,0,0,0,1.0,0,0,0
2,2023.0,0,0,0,The new joint-venture gadget replaces the Xfinity Flex puck that Comcast had been giving out for free to its broadband-only subscribers,0,25,1,0,0,1.0,0,0,0,0,1.0,0,0,0,1.0,0.0,0,0,0,1.0,1.0,0,0,0,0
2,2023.0,0,0,0,"December 12: Under Pressure: The U.S. Women’s World Cup Team (sports documentary),  Netflix",0,25,1,0,0,0,1.0,0,0,1.0,0,0,0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,1.0
1,2023.0,0,0,0,"It is also about how that cooking show is at the center of a remarkable season for AMC Networks’   Content Room branded  content unit, which integrated a record 15 sponsors into AMC’s annual “Best Christmas Ever” programming stunt.",0,17,1,0,0,1.0,1.0,0,0,0,1.0,0,0,1.0,1.0,1.0,0,0,0,0,0,0,0,1.0,0
2,2023.0,0,0,0,"Content Room’s branded  content is becoming more popular as advertisers look beyond simply airing 30-second spots, DiGiacomo said. “It’s about being innovative and how and where we target our audience’s ever-growing distribution footprint that now includes not only linear, but digital  streaming and a strong presence on CTV with our FAST Channels.”",0,29,1,0,0,1.0,1.0,0,0,0,1.0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,0,0,0
2,2023.0,0,0,0,"According to CNBC,  Altice USA and Regent are discussing various cashless transaction formats. One, called an “earn out,” wouldn't include any initial cash payments by the private equity firm. Rather,  Altice USA would receive payments that could total around $50 million based on certain performance goals being met.",0,28,1,0,0,1.0,0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
1,2023.0,0,0,0,"The rise of  ad-supported   video - on - demand ( AVOD ) services will prompt  subscription video players to “concentrate their investments on what  AVOD doesn’t do as well — forcing a shift in strategy.”  AVOD excels in news, kids programming, family programming and reality  content , Magid said, and so SVODs will have to do a better job delivering and marketing premium  content .",0,"17,20",0,0,0,1.0,1.0,0,0,0,1.0,0,0,1.0,1.0,0.0,1.0,0,0,0,0,1.0,0,0,0
1,2023.0,0,0,0,"TNT’s in-season tournament game between the Golden State Warriors and the Sacramento Kings was the most-watched non-football game this week, averaging 2 million viewers. The game was the most watched of the inaugural tournament, which averaged 1.35 million viewers across  ESPN ,  TNT , and NBA TV, according to SportsMedia Watch.",0,17,1,0,0,1.0,1.0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,1.0
