stage,index,path,year-month,date,article_idx,article_title,article_length,paragraph,check,2500Bott,singlebott,Bottid,scarcity,nonuniform_progress,performance_constraints,user_heterogeneity,cognitive,external,internal,coordination,transactional,technical,demand,2500partner,singlepartner,content_production,data_center/storage,Internet_infra,content_distribution,"browsers,_apps_&_smart_devices",advertising,end_users,external_partners,substitutional_partners,bott_list
0.0,20651,./htmls/Factiva-20240114-0330.html,2007 January,2007-01-29 00:00:00,57,Verizon Is Cause for Deregulation,9,The Federal Communications Commission last Wednesday released a batch of orders that removed local price controls on basic-cable service — including two cases that involved Cablevision Systems in communities where Verizon Communications is deploying its FiOS TV all-fiber 180-channel  video system.,0,1,0,"2,11",0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,
0.0,20691,./htmls/Factiva-20240114-0330.html,2007 January,2007-01-29 00:00:00,60,Kids Prove To Be Demanding;    Video On Demand  Has Become A Powerful Tool for Programmers,30,"The number of  video - on - demand capable U.S. homes grew to nearly 26.2 million — 86% of the country's homes with digital cable — in the first half of 2006, according to Kagan Research. And as VOD numbers continue to grow, kids and family programmers are looking for ways to leverage the platform.    ",0,1,1,9,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
1.0,20771,./htmls/Factiva-20240114-0330.html,2007 January,2007-01-29 00:00:00,64,Showtime Updates Smithsonian VOD Fare,6,"Other productions include Stories from the Vaults, The Hunt for the Double Eagle, American Treasures, Nature Tech, Cutting Loose and kids-targeted Critter Quest.    ",0,1,0,"17,19",0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,
1.0,20851,./htmls/Factiva-20240114-0330.html,2007 January,2007-01-25 00:00:00,78,EastEnders Reprieved Anew,5,"But local fans, including British expatriates, raised about $52,000 amongst themselves -- enough to pay the license fee for two years. So it’s staying on the air for at least that long, WETA vice president of external affairs Mary Stewart said, confirming a Washington Post report. “This was a unique situation,” she added.    ",0,1,0,"16,17",0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,
1.0,20931,./htmls/Factiva-20240114-0330.html,2007 January,2007-01-24 00:00:00,92,West Is North for AMC,6,AMCwent Western last weekend and turned north in the ratings.,0,1,1,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
1.0,62393,./htmls/Factiva-20240114-0329 (1).html,2007 January,2007-01-31 00:00:00,65,"Lakers, Dodgers Go HD on Time Warner        ",3,"KCAL 9 HD will also deliver all of its 2007 Los Angeles Dodgers Major League Baseball game broadcasts in HD beginning Friday, March 30, with the Dodgers' Freeway  Series exhibition game against the Los Angeles Angels of Anaheim.    ",0,1,1,17,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,
1.0,62513,./htmls/Factiva-20240114-0329 (1).html,2007 January,2007-01-30 00:00:00,86,"NBC U, UFC Offer Fearless Sweepstakes        ",4,"Other upcoming VOD and PPV titles include  film noir Black Dahlia (Feb. 8), starring Josh Hartnett, Hilary Swank and Scarlett Johansson; and the next installment of the American Pie franchise, American Pie Presents: The Naked Mile (Feb. 17).    ",0,1,1,17,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,
1.0,64590,./htmls/Factiva-20240114-0331.html,2007 January,2007-01-08 00:00:00,3,"Broadband    Video  Girds for Growth; From    Content  Delivery to Syndication, Market’s Hot for Internet TV Services        ",91,"Adam Berrey, Brightcove vice president of marketing and strategy, said its biggest competition comes from producers’ in-house projects to integrate different  content management and acquisition, programming and ad-buying systems.  ",0,1,0,"17,20",0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,
1.0,64670,./htmls/Factiva-20240114-0331.html,2007 January,2007-01-08 00:00:00,7,Verizon Wireless  TV Going Live,7,"The live-TV service, provided through Qualcomm's MediaFLO USA subsidiary, initially will have fewer than a dozen channels. Those will include two from NBC Universal — one for news and one for entertainment — and at least two other broadcast networks. Until now,  Verizon Wireless 's V Cast  video service has consisted of on-demand clips from partners ranging from ESPN to  Comedy Central .    ",0,1,1,17,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,
1.0,64750,./htmls/Factiva-20240114-0331.html,2007 January,2007-01-08 00:00:00,12,CNN Forms Investigations Unit,5,"Later this month, CNN will debut a long-form investigative  series that will run each Saturday and Sunday.    ",0,1,1,17,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,
1.0,64790,./htmls/Factiva-20240114-0331.html,2007 January,2007-01-08 00:00:00,15,Iger Unveils Digital Doorway’ to    Disney Content,16,"A “ Disney for You” feature allows visitors to enter areas that reorganize material based on age or gender. The areas serve preschoolers, boys, girls, kids and teens, families and, broadly, a category called “ Disney Fans.”      ",0,1,1,19,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
0.0,65070,./htmls/Factiva-20240114-0331.html,2007 January,2007-01-08 00:00:00,51,Volume Control; Voices From Everywhere On Internet    Video,15,"As 2006 saw the maturing of the read-write Web (or Web 2.0), 2007 will see the rise of the third stage of the internet’s evolution: the Hear Me See Me Web. The rise of  video and audio on the Web has been phenomenal and we will see the average user’s behavior change over the next year as he/she moves from reading and writing text to consuming and generating moving image and sound.”      ",0,1,1,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
0.0,65150,./htmls/Factiva-20240114-0331.html,2007 January,2007-01-08 00:00:00,56,USA Psyched About Ratings Win;    Disney  Racks Up Stellar Year; No. 1 TNT Is Unseated,43,"USA's primetime ratings were up 10% last year, while  Disney Channel, which isn't ad-supported, registered a 16% gain.   ",0,1,1,9,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,
1.0,65310,./htmls/Factiva-20240114-0331.html,2007 January,2007-01-05 00:00:00,72,MTVN Ups Digital- Media  Drive,5,"We're all about connecting audiences with our  content -- and each other -- through immersive environments that span TV,  online and wireless,” Salmi said in a prepared statement. “With this team in place, we're poised to deepen our audience connections, reaching them wherever they are, whenever they want and on whatever screen they choose.”      ",0,1,1,15,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,
0.0,226342,./htmls/Factiva-20240114-0330 (2).html,2007 January,2007-01-17 00:00:00,17,Start-Up Airline Offers Snazzy Seatback Entertainment,11,"Seat-to-seat chatting and on-screen food ordering are part of the new seat-back-entertainment amenities on startup airline Virgin America, along with on-demand pay-per-view  movies , digital-music channels and live TV.      ",0,1,0,"8,9",0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,
1.0,226542,./htmls/Factiva-20240114-0330 (2).html,2007 January,2007-01-16 00:00:00,50,Venice Project Renamed Joost,8,"Content partners include Warner Music Group; English-language Latino programmer VOY; Havoc Television, a producer of music and action-sports  content ; and Off the Fence, a Dutch company that produces  documentaries . For example, Paris Hilton -- the hotel heiress and aspiring pop artist who's signed with Warner Bros. Records -- has a channel on the beta version of Joost. ",0,1,0,"16,17",0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,
1.0,226622,./htmls/Factiva-20240114-0330 (2).html,2007 January,2007-01-15 00:00:00,54,This Just In,41,"And in fact, at launch, Chiller’s programming slate will include the TV  series Twin Peaks , Alfred Hitchcock Presents and Tales from the Crypt . Feature films in rotation will include The Shining , Hitchcock’s Psycho , Blade Runner and The Unholy .      ",0,1,1,17,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,
0.0,226982,./htmls/Factiva-20240114-0330 (2).html,2007 January,2007-01-15 00:00:00,74,CEA Chief Stands Up for Users,12,"What happens to music and  video content that gets shared on so-called peer-to-peer networks of PCs or  content -sharing sites — such as the “broadcast yourself” site, YouTube — remains open, as Shapiro did not shed light on those matters at CES.    ",0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,
0.0,326419,./htmls/Factiva-20240114-0330 (3).html,2007 January,2007-01-12 00:00:00,7,News from the Consumer Electronics Show,21,"Cable Wants Web  Video to Be Friend, Not Foe     http://www.multichannel.com/article/CA6406023.html ",0,1,1,7,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,
1.0,326459,./htmls/Factiva-20240114-0330 (3).html,2007 January,2007-01-12 00:00:00,8,News from the TCA,29,"Hallmark: Love First, Genres Later     http://www.multichannel.com/article/CA6406609.html ",0,1,1,17,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,
1.0,326659,./htmls/Factiva-20240114-0330 (3).html,2007 January,2007-01-10 00:00:00,44,"Cars.com to Drive ESPN, ESPN2 NCAA Hoops        ",4,Cars.com     http://www.cars.com/go/index.jsp  will sponsor ESPN and ESPN2 Saturday-afternoon college basketball beginning Feb. 3.,0,1,1,16,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,
0.0,326739,./htmls/Factiva-20240114-0330 (3).html,2007 January,2007-01-09 00:00:00,62,Discovery  Beefs Up Programming Staff,9,Discovery Networks U.S. named a new programming guide.,0,1,1,9,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,
1.0,326779,./htmls/Factiva-20240114-0330 (3).html,2007 January,2007-01-09 00:00:00,65,CMT Mobile to Sell Pageant Tones,4,"The 2007 Pageant will air live on CMT from The Planet Hollywood Resort & Casino in Las Vegas Monday, Jan. 29 at 8 p.m. ",0,1,1,17,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
1.0,326859,./htmls/Factiva-20240114-0330 (3).html,2007 January,2007-01-09 00:00:00,77,Verizon to Launch FiOS1 Local-Channel Service,5,"FiOS1 will also include around-the-clock traffic and weather, as well as local news and community sports. Verizon will partner with professional news organizations to deliver some of the  content .    ",0,1,0,"16,17",0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,
1.0,326979,./htmls/Factiva-20240114-0330 (3).html,2007 January,2007-01-08 00:00:00,92,For a New- Media  'On Ramp',13,The explosion of the “new- media ” business over the last two years has caused the advertising industry to shift some gears.,0,1,1,20,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,
1.0,336388,./htmls/Factiva-20240114-0330 (1).html,2007 January,2007-01-22 00:00:00,55,Reality’s Just the Tip at TCA; Critics Get Word on Fare From Telefilms To Sketch Comedy,19,"Meanwhile, judges and producers talked up Top Design , the interior-design competition  series debuting Jan. 31 that will put 12 designers, artists and architects through their paces. The participants have a chance to win a $100,000 grand prize from LendingTree.com and a 2007 Acadia auto from GMC — partners in the show, along with Bacardi Limon and Thomasville Furniture.    ",0,1,1,17,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,
1.0,336428,./htmls/Factiva-20240114-0330 (1).html,2007 January,2007-01-22 00:00:00,56,People,40,Viamedia,0,1,1,20,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,
1.0,336468,./htmls/Factiva-20240114-0330 (1).html,2007 January,2007-01-22 00:00:00,59,Ad Advice: Get a Hobby; TV Spots Should Spur Interaction With Viewers,20,"Businesses must engage consumers in real-time conversations that are “relevant and trustworthy,” the report added. For instance, consumers will sniff out “fake blogs,” or “flogs,” and state their distrust for the company.      ",0,1,1,18,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,
0.0,336748,./htmls/Factiva-20240114-0330 (1).html,2007 January,2007-01-22 00:00:00,75,"TW, Sinclair Keep Talking; But Mediacom’s CEO Pushes for Binding Arbitration in Its Dispute          ",25,"Commisso was referring to the rebates, from $100 to $150, that Mediacom subscribers can get if they agree to switch to DirecTV.      ",0,1,1,9,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,
0.0,336788,./htmls/Factiva-20240114-0330 (1).html,2007 January,2007-01-22 00:00:00,77,Cox’s Aaron Ripley: Making the Complex Look Simple,29,"And indeed he is creating a unique environment at Cox, mixing his engineering, business, processing and technology savvy into a next-generation platform. “As things become more complex, it’s about looking at the whole system function, not just the operational pieces, to create the end service, and how to take network operations information and make it available to customers when they need it. And, how do we add more science to the art of troubleshooting. My engineering background plays a big part in that space, and that’s what’s fun and dynamic about this job,” Ripley said.      ",0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,
0.0,337388,./htmls/Factiva-20240114-0331 (1).html,2007 January,2007-01-01 00:00:00,34,"Quest10ns (And Answers) For 2007; From Franchise Reform to Retrans, Handicapping Some of Cable's Top Issues in the Coming Year        ",87,"Launching broadcast-affiliated cable networks in lieu of cash for station carriage was the brainchild of John Malone at Tele-Communications Inc. The  National Cable & Telecommunications Association is paralyzed because operators and programmers are members. In 2005, the Federal Communications Commission concluded retrans works.    ",0,1,1,2,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,
1.0,337588,./htmls/Factiva-20240114-0331 (1).html,2007 January,2007-01-01 00:00:00,44,FX Spills Viral 'Dirt' on Cox    Series,14,"The exclusive  video , which cannot be seen on such portals as MSN or Yahoo, offers a behind-the-scenes interview with the cast and crew of Dirt , Bigalow added.      ",0,1,1,17,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,
0.0,337668,./htmls/Factiva-20240114-0331 (1).html,2007 January,2007-01-01 00:00:00,49,R.I. Greenlights Verizon’s FiOS Service,8,"During hearings on the applications, Cox’s regional vice president of government and public affairs, John Wolfe, argued the terms suggested by Verizon were not equivalent to the service levels provided by Cox. For instance, incumbent Cox must provide  video service to public buildings. If that standard is not applied to new providers, the cable company should receive regulatory relief, he said.      ",0,1,1,11,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,
1.0,74547,./htmls/Factiva-20240114-0327.html,2007 March,2007-03-20 00:00:00,1,ExerciseTV Boosts On-Demand    Content ; Comcast-Owned VOD Channel Scores Pilates Videos,6,"ExerciseTV, Comcast’s on-demand service dedicated to fitness, said it closed three programming deals with  content providers.      ",0,1,1,16,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,
1.0,74667,./htmls/Factiva-20240114-0327.html,2007 March,2007-03-19 00:00:00,5,"Google : Love, Fear and Hate          ",78,"Nevertheless, the BBC added: “The partnership hasn't changed our legal position and we'll continue to ask YouTube to take down  content where appropriate.”      ",0,1,1,14,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,
0.0,74747,./htmls/Factiva-20240114-0327.html,2007 March,2007-03-19 00:00:00,7,Willner Calls for a TV Tax,10,"This would be in lieu of retransmission consent, and all broadcasters would share in the pool,” said Willner, who didn't suggest the size of the tax. “We'll collect it. We don't care — but as long as everybody gets [taxed] equally.”      ",0,1,0,"2,11",0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,
1.0,75307,./htmls/Factiva-20240114-0327.html,2007 March,2007-03-19 00:00:00,29,HGTV Renovates Branding,9,HGTV is affirming its place in the lives of young homebodies with a new $6.5 million branding campaign.,0,1,1,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
1.0,75427,./htmls/Factiva-20240114-0327.html,2007 March,2007-03-19 00:00:00,36,"INHD's New Moniker: Mojo; “Mr. Mojo Risin', Gotta keep on risin' Risin', Risin'”— “LA Woman,” The Doors          ",18,"When Mojo debuts on May Day, the service will expand its original high-definition  series in primetime, aimed principally at “active affluent” males, according to CEO Robert Jacobson.      ",0,1,0,"16,19",0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,
1.0,76027,./htmls/Factiva-20240114-0327.html,2007 March,2007-03-18 00:00:00,72,"Programming Execs Weigh In on Viacom-YouTube; Harbert, Blank, Hammer Don’t View Web as Enemy          ",9,"Channels have to get away from one-size-fits-all  media , said Bonnie Hammer       http://www.multichannel.com/article/CA193222.html     , president of USA Network and Sci Fi Channel. Advertisers want to get involved on the Web so perhaps its time to return to totally sponsored  content as a model, she suggested.      ",0,1,1,20,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,
0.0,76067,./htmls/Factiva-20240114-0327.html,2007 March,2007-03-15 00:00:00,82,NCTA to Lobby on Retransmission Consent,11,But McSlarrow said the NCTA hasn’t decided on legislative goals that enjoy broad member support.,0,1,1,11,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,
1.0,295641,./htmls/Factiva-20240114-0327 (2).html,2007 March,2007-03-07 00:00:00,4,Fox News Orders More ½ Hour News Hour; Network OKs 13 More Episodes of Parody Show,3,"The network said the two episodes it aired averaged nearly 1.4 million viewers, including 443,000 adults 25-54.      ",0,1,0,"17,21",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
0.0,295681,./htmls/Factiva-20240114-0327 (2).html,2007 March,2007-03-07 00:00:00,11,"MSN, Yahoo Get First Crack at FX’s Riches;    Online  Sneak Previews to Precede    Series ’ Debut          ",5,"Episode two of The Riches, which airs on FX March 19, will also be available  online before it airs on FX for an exclusive three-day window on Yahoo from March 13-15. Beginning March 16, episode two of The Riches will then be available on MSN and TV.com.      ",0,1,1,7,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,
0.0,295721,./htmls/Factiva-20240114-0327 (2).html,2007 March,2007-03-06 00:00:00,18,EarthLink Bundles Up with TiVo; Internet-Service Provider to Sell Branded Digital- Video  Recorders,4,EarthLink Bundles Up with TiVo; Internet-Service Provider to Sell Branded Digital- Video  Recorders,0,1,1,8,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,
0.0,295761,./htmls/Factiva-20240114-0327 (2).html,2007 March,2007-03-06 00:00:00,24,"MTVN, Conrad Are Virtually Fashionable; Cable Programmer, Star of The Hills to Debut Celebrity-Inspired Digital Fashion Line          ",4,"Conrad will also develop a real-world fashion line that will be available in high-end boutiques, retail stores and  online later this fall.      ",0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,
1.0,295801,./htmls/Factiva-20240114-0327 (2).html,2007 March,2007-03-06 00:00:00,30,Comcast Adds Bloomberg TV in N.J. Cable Operator Brings 24-Hour Business Network to Garden State,2,The 24-hour business- and financial-news channel       http://about.bloomberg.com/about/  media /tv.html     reaches more than 200 million homes worldwide via 11 channels in seven languages.,0,1,1,18,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,
1.0,295841,./htmls/Factiva-20240114-0327 (2).html,2007 March,2007-03-06 00:00:00,36,"Norman: 'You're Too Late' for Broadband, Wireless          ",10,"Key to using  online and wireless channels in combination with television is to “enhance the experience, not be the experience,” Norman said. That means giving viewers “unfiltered” access to events, stars -- and each other.      ",0,1,1,18,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
1.0,295961,./htmls/Factiva-20240114-0327 (2).html,2007 March,2007-03-05 00:00:00,51,"Do-It-Yourself Web- Video  Syndication; Maven Networks Touts Distribution, Community Tools          ",31,"Hearst will launch with 1,000 pieces of  video content in the next 90 days, on sites including TeenMag.com, Esquire.com, Seventeen.com and CosmoGirl.com.   ",0,1,1,17,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,
0.0,296281,./htmls/Factiva-20240114-0327 (2).html,2007 March,2007-03-05 00:00:00,75,MPEG LA Dueling Lawsuits Get Settled,10,"In its suit, MPEG LA alleged that Futa and O’Reilly spent the company’s money on things “that were plainly not in the best interests of MPEG LA” and that O’Reilly received an excessive salary — $2.4 million in 2005 — as well as lavish perks that included a Porsche.    ",0,1,1,11,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,
0.0,296321,./htmls/Factiva-20240114-0327 (2).html,2007 March,2007-03-05 00:00:00,76,Dueling for Dollars; Cash — Lots of It — Is at Stake When Broadcast and Cable Squares Off on Retransmitting TV Signals. Here’s How Each Side Tries To Grab or Keep It,111,"The battle lasted several weeks, with the two finally reaching an agreement Aug. 7. While terms were not disclosed, both parties have said the deal satisfied their needs.    ",0,1,1,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.0,296721,./htmls/Factiva-20240114-0327 (2).html,2007 March,2007-03-02 00:00:00,99,"BET Aspires to Be More Animated; Network to Produce Up to Five Animated    Series , Along with Interstitials        ",12,"New York -- A futuristic battle over hip-hop’s existence, a sobering look at the black slave trade and a humorous takeoff on the 1970s Schoolhouse Rock shorts are all planned for BET in 2008 as it eyes serious steps into animation.    ",0,1,1,17,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,
1.0,297194,./htmls/Factiva-20240114-0326 (2).html,2007 March,2007-03-29 00:00:00,34,Litner Named Comcast SportsNet President; Former SportsNet New York President Replaces Founder Jack Williams,6,"Jon has quickly built SportsNet New York into one of the most successful regional sports networks in the country,” said Jeff Shell       http://www.multichannel.com/article/CA501655.html     , president of Comcast programming. “His proven experience in television, sports and operations make him the ideal new leader for Comcast SportsNet's rapidly expanding family of regional sports networks.”      ",0,1,1,17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.0,297274,./htmls/Factiva-20240114-0326 (2).html,2007 March,2007-03-28 00:00:00,48,"Microsoft ’s Xbox 360 Elite Adds HD Capability;    Video -Game Console Can Support HD    Video  Up to 1080p, Surround Sound          ",3,"The Xbox 360 Elite also boasts a 120-gigabyte hard drive, enabling the download of HD  movies and TV shows       http://www.multichannel.com/article/CA6421656.html     from the company’s Xbox LIVE Marketplace       http://www.xbox.com/en-US/live/marketplace     .      ",0,1,1,4,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,
0.0,297514,./htmls/Factiva-20240114-0326 (2).html,2007 March,2007-03-27 00:00:00,81,"TiVo Teams Up with One True    Media ; Allows DVR Subscribers to Share Digital Videos, Photos via TV          ",4,"They can then create their own personal channel with TiVo and then invite TiVo subscribers of their choosing to ""subscribe"" to the channel at no additional cost. TiVo users can then select a TiVo Season Pass       http://www.tivo.com/1.2.1.asp     recording that automatically adds the sender's latest videos to the viewer's now-playing list -- the same location where they access all of their television recordings.      ",0,1,1,9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
1.0,297594,./htmls/Factiva-20240114-0326 (2).html,2007 March,2007-03-26 00:00:00,92,EchoStar: Beware Liberty-DirecTV; No. 2 DBS Provider Opposes Rival’s Acquisition in FCC Filing,17,"It is apparent that Liberty will capitalize on its reintegration with a MVPD and either acquire or create new programming, hence creating more vertical integration,” EchoStar said in its papers.",0,1,1,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
