index,path,year-month,date,paragraph#,article_title,paragraph,2500Bott,singlebott,bott_list,stage,scarcity,nonuniform_progress,performance_constraints,user_heterogeneity,cognitive,external,internal,coordination,transactional,technical,demand,2500partner,singlepartner,content_production,data_center/storage,Internet_infra,content_distribution,"browsers,_apps_&_smart_devices",advertising,end_users,external_partners,substitutional_partners,length_approx
343782,./htmls/Factiva-20240114-0304.html,2008-08-01 00:00:00,2008-08-04 00:00:00,20,"NBC’s Olympic Proportions; Net spreads wealth of Beijing Games coverage across all platforms, sports    ","The latest wave of ads, which kicked off in recent weeks, plugs NBC’s cross-platform plans. NBC must explain how to access the expanded coverage and direct users to the Web for localized listings. Most important, NBC is hyping its primetime network coverage, including Phelps’ chance to make Olympic history. “His story will unfold live in primetime for eight nights. It is almost like a serialized  drama every night,” said Mike McCarley, vice president of strategic marketing, communications and promotion for NBC Sports and Olympics.",1,0,0,0.0,0,0,0.0,0,1,0,0.0,1.0,0,0,1,1,0,1,0,0,0,0,1.0,0,0,1,20.0
344062,./htmls/Factiva-20240114-0304.html,2008-08-01 00:00:00,2008-08-04 00:00:00,31,Interactive-TV Pioneer Jumps to ActiveVideo,"In addition, Callahan is credited as a principal developer of Time Warner's  video - on - demand services and MystroTV, the network-based digital  video recorder system that became Start Over, which lets viewers rewind in-progress programs to the beginning.",1,0,0,0.0,0,0,0.0,0,0,0,1.0,0.0,0,1,0,1,1,1,0,0,0,0,0.0,0,0,0,31.0
177207,./htmls/Factiva-20240114-0301.html,2008-12-01 00:00:00,2008-12-22 00:00:00,14,Joost Scraps    Video  App,"This October, Joost introduced a Web-based version of the service, allowing users to watch  video directly in a browser through a player built on  Adobe Systems' Flash. The service no longer uses peer-to-peer networking protocols, and doesn't require installing any of Joost's proprietary software or plug-ins.",1,1,0,0.0,0,1,0.0,0,0,0,0.0,0.0,0,1,0,1,0,0,1,0,0,1,0.0,0,0,0,14.0
177767,./htmls/Factiva-20240114-0301.html,2008-12-01 00:00:00,2008-12-15 00:00:00,42,An Open Letter on TV Piracy,"Further, try to make the sales-pitch part of the entertainment. Jimmy Kimmel Live is currently doing this with their Klondike Bar ads. Because Kimmel is involved and because the ads are funny and because it's hard to tell where the show ends and the pitch begins, people are much more likely to watch them.",1,1,0,0.0,0,0,0.0,0,1,0,0.0,1.0,0,0,0,1,1,0,0,0,0,0,1.0,0,0,0,42.0
178087,./htmls/Factiva-20240114-0301.html,2008-12-01 00:00:00,2008-12-15 00:00:00,59,Coda,"Starz argued that iTunes is a “television” service, for the purposes of the 1993 and 1999 agreements between Starz and Buena Vista Television.  Disney countered that the contracts with Starz did not grant the pay TV provider exclusivity for all definitions of “television” distribution.",1,1,0,0.0,0,0,0.0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,59.0
271989,./htmls/Factiva-20240114-0302 (1).html,2008-12-01 00:00:00,2008-12-01 00:00:00,11,Content,"In addition, the network will air daily “Festival Updates” as interstitials during the festival's Jan. 16 to 25 run. The updates will include original shows such as Meet the Filmmaker , featuring interviews with Sundance filmmakers; Interview , starring radio host/pop culture commentator/comedian Faith Salie's discussions with various festival visitors and participants; My Premiere , which follows one filmmaker per day to his or her  film 's debut; and Spotlight , featuring interviews with festival jurors — last year's jurors list included Quentin Tarantino, Marcia Gay Harden and Diego Luna.",1,0,0,0.0,0,0,0.0,0,0,1,0.0,1.0,0,0,1,1,0,1,0,0,0,0,1.0,0,1,0,48.0
319724,./htmls/Factiva-20240114-0308.html,2008-02-01 00:00:00,2008-02-09 00:00:00,17,"WGA Leaders Urge Members To Accept Tentative Studio Deal; Verrone, Winship: Strike Has Been A Success’          ","The WGA laid out in detail over four pages the terms of the tentative contract       http://www.wga.org/contract_07/wga_tent_summary.pdf and     in its e-mail made reference to the issue that was the key sticking point since before the strike began Nov. 5       http://www.multichannel.com/article/CA6524789.html?q=WGA     : residuals for  content that is used on new- media platforms, such as the Internet and cell phones.      ",1,0,0,0.0,0,0,0.0,0,0,1,0.0,1.0,1,0,0,1,0,1,0,0,0,1,0.0,0,1,0,17.0
23807,./htmls/Factiva-20240114-0310 (2).html,2008-01-01 00:00:00,2008-01-04 00:00:00,3,Disney : FCC Can’t Impose Wholesale A La Carte; Programmer Says Congress Has Not Provided Agency With Authority,Disney argued that consumer access to tiers of service with dozens of cable channels was beneficial because it delivered the most programming at the lowest cost.,1,1,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,3.0
23887,./htmls/Factiva-20240114-0310 (2).html,2008-01-01 00:00:00,2008-01-03 00:00:00,17,Weather Channel On The Block; Landmark Hires J.P. Morgan Chase to 'Evaluate Options',"While he would not disclose financial figures, Anstrom said that The Weather Channel is on track to report double-digit profit growth in 2008 and beyond. Coupled with its strong brand, a growing Internet web site (weather.com) that consistently ranks in the top 15 in terms of traffic, and its strong management team, now was as good a time as any to test the waters.      ",1,1,0,0.0,0,0,0.0,0,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,17.0
23967,./htmls/Factiva-20240114-0310 (2).html,2008-01-01 00:00:00,2008-01-02 00:00:00,26,Q&A With    MTV Networks International Managing Director Bhavneet Singh,The other thing we want to do is figure out how to roll out some of the other    Viacom assets that we have. Xfire and our other digital offerings have a large amount of traffic from international markets. So the question is how we can serve those users in a local environment that would be more relevant to them.,1,1,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,1,0,1,1,0,0,1,0,0,0.0,0,0,0,26.0
29388,./htmls/Factiva-20240114-0310.html,2008-01-01 00:00:00,2008-01-14 00:00:00,43,Sniffing Out    Video  Failures,"Symmetricom, whose primary products provide timing-synchronization capabilities for telecommunications gear and other devices, has developed a system for cable operators to monitor  video and audio and look for various impairments.      ",1,1,0,0.0,0,0,1.0,0,0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,43.0
29468,./htmls/Factiva-20240114-0310.html,2008-01-01 00:00:00,2008-01-14 00:00:00,46,"Cutting the Box Open; New Interactive Devices Arrive to Connect Directly To Cable Systems. Meanwhile, TV Comes To Set-Tops, Via The Internet.          ","Now, through distribution deals like the one it struck last week with Viacom's MTV Networks, Veoh is aiming to be a “hyper-aggregator” of Internet  video content through partnerships with  media companies.      ",1,1,0,0.0,1,0,0.0,0,0,0,0.0,1.0,0,0,0,1,1,0,1,0,0,0,0.0,0,0,0,46.0
29628,./htmls/Factiva-20240114-0310.html,2008-01-01 00:00:00,2008-01-14 00:00:00,54,Software Will Drive    Media,"The “magic of software,” he said, will bring “high-definition experiences everywhere,” from TV screens to desktop monitors; make common the idea that all data and computer services can be available at any time from any place; and allow users to increasingly employ their fingers, voices and hands to interact with digital devices.      ",1,1,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,1,1,1,0,0,0,0,0,1,0.0,0,0,0,54.0
131409,./htmls/Factiva-20240114-0310 (1).html,2008-01-01 00:00:00,2008-01-10 00:00:00,2,"TBS Sets ’10 Items’ Webcast; TBS.com Program Features Cast of Program, Director Nancy Hower          ","In conjunction with the Jan. 15 return of TBS’s late-night comedy 10 Items or Less, the network’s broadband destination, TBS.com, is giving fans a cart full of digital tie-ins.       ",1,1,0,0.0,0,1,0.0,0,0,0,0.0,0.0,0,0,1,1,1,0,0,0,0,1,0.0,0,0,0,52.0
131489,./htmls/Factiva-20240114-0310 (1).html,2008-01-01 00:00:00,2008-01-08 00:00:00,14,"Turning    Online Video  Into Cash – Or Not; Executives From YouTube, Charter, Vuze Debate Internet    Video     ","But niche  content , he argued, is more likely to generate paying customers. “If you have long-tail  content produced in a way to touch people’s passions -- programming you don’t find on TV -- then, we think for that type of  content people will be willing to pay for that.” BianRosa said he recently found the Web site of a triathlete who sells videos about training for triathlons  online at $40 each.      ",1,1,0,0.0,0,0,0.0,1,0,0,0.0,0.0,0,0,1,1,1,1,0,0,0,0,0.0,0,0,0,14.0
131529,./htmls/Factiva-20240114-0310 (1).html,2008-01-01 00:00:00,2008-01-08 00:00:00,18,Broadcasters Set Mobile TV Tests With SES Americom; Two Technologies Trials Set for 2008; Commercial Launch In 2009,"In the tests, planned for several markets, a sample of consumers will be able to watch a selection of local and national programming and access interactive services, using various mobile and portable receiver devices, such as cell phones, personal  media players and laptop computers.      ",1,1,0,0.0,0,0,0.0,1,0,0,0.0,0.0,0,1,1,1,1,0,0,0,0,1,0.0,0,0,0,18.0
131649,./htmls/Factiva-20240114-0310 (1).html,2008-01-01 00:00:00,2008-01-07 00:00:00,34,"Tech Emmys Crimped by Legal Spat; 'Classic' Emmys Given in Six Categories, With Special Awards for New    Media  and Games          ","Outstanding achievement in advanced  media technology for synchronous enhancement of original television  content for interactive use: March Madness on Demand, CBSSports.com/CBS Sports      ",1,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,1,1,1,1,0,0,0,0,0.0,0,0,0,34.0
131809,./htmls/Factiva-20240114-0310 (1).html,2008-01-01 00:00:00,2008-01-07 00:00:00,54,No New Script Written,"Even episodes from the much touted Web  drama series Quarterlife have failed to draw millions of viewers to MySpace and YouTube, where new episodes are streamed twice a week. A recent article in The New York Times describes the show, about the lives of a group of friendly twentysomethings, as “the first television-quality production for the Web” and NBC has already picked it up as a midseason replacement  series .      ",1,1,0,0.0,0,0,0.0,1,0,0,0.0,0.0,0,0,1,1,1,1,0,0,0,0,0.0,0,0,0,54.0
132449,./htmls/Factiva-20240114-0310 (1).html,2008-01-01 00:00:00,2008-01-06 00:00:00,93,Microsoft : 1 Million IPTV Set-Tops Served; Software Kingpin Touts Flexibility of Mediaroom System,"Brady said at the current growth rate,  Microsoft ’s Mediaroom is adding two new subscribers every minute and is on pace to have 1 million subscriber homes in the first calendar quarter of 2008.      ",1,1,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,93.0
286845,./htmls/Factiva-20240114-0308 (1).html,2008-01-01 00:00:00,2008-01-28 00:00:00,55,U-verse TV Pitched to Chicago Suburbs;    AT&T Launches in 175-Plus Northeast Illinois Communities,"AT&T is blowing U-verse TV into more than 175 communities surrounding the Windy City, in what the telco claimed is the largest initial rollout to date for the Internet Protocol TV service.       ",1,1,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,1,0,1,0,0,1,1,0,0,0.0,0,0,0,38.0
320618,./htmls/Factiva-20240114-0308.html,2008-01-01 00:00:00,2008-01-30 00:00:00,87,"The FCC, Robert McDowell And The Rules of 2008; Commissioner To FieldCross-Ownership, Digital Transition Queries On MCN’ Webinar          ","Registered members of the audience can send in questions from their keyboards during this interactive Webinar. Register at least an hour ahead of time, at       www.multichannel.com/rules2008    http://www.multichannel.com/rules2008     .      ",1,1,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,1,1,1,0,0,0,0,1,0.0,0,0,0,87.0
396591,./htmls/Factiva-20240114-0309.html,2008-01-01 00:00:00,2008-01-23 00:00:00,7,"Verizon FiOS To Add MGM HD; Movie Channel Gets Second Launch, After DirecTV          ","The channel also touts exclusive behind-scenes coverage of red-carpet events, sneak peeks at new films in production, seasonal promotions and world premieres of newly re-mastered hits from the MGM library.        ",1,0,0,0.0,1,0,0.0,0,0,0,1.0,0.0,0,0,1,1,1,1,0,0,0,0,0.0,0,0,0,80.0
396991,./htmls/Factiva-20240114-0309.html,2008-01-01 00:00:00,2008-01-21 00:00:00,49,"It's Not the Web, It's HBO; 400-Hour service bows in Wisconsin          ","The catch: You have to subscribe to HBO and HBO On Demand, as well as to your cable operator's high-speed Internet service, such as    Time Warner's Road Runner or    Cablevision Systems' Optimum  Online .      ",1,1,0,0.0,0,0,0.0,0,0,0,1.0,0.0,0,0,0,1,0,0,0,1,1,0,0.0,0,0,0,49.0
397031,./htmls/Factiva-20240114-0309.html,2008-01-01 00:00:00,2008-01-21 00:00:00,51,A Network of Her OWN; Cable discovers talk-show queen Oprah Winfrey,"Given Winfrey's strong and powerful brand, which also successfully touches publishing (O: The Oprah Magazine ), satellite radio (XM Radio's Oprah and Friends Channel) and movie production (The Great Debaters ), OWN will certainly have strong appeal both to viewers and to the advertising community, according to Katz Television Group director of programming Bill Carroll.      ",1,0,0,0.0,0,0,0.0,0,0,0,1.0,0.0,0,0,1,1,0,1,0,0,0,0,1.0,0,0,0,51.0
397111,./htmls/Factiva-20240114-0309.html,2008-01-01 00:00:00,2008-01-21 00:00:00,55,Watching the Martin Watch; Storm for Reform Surrounds the FCC as Confidence in Chairman Is Tested,"Two weeks ago in Las Vegas, senior executives from    Comcast,    AT&T and    Verizon Communications told a Consumer Electronics Show audience that the FCC had to be reorganized to reflect the fact that communications markets are robustly competitive. The competition in TV and telephony now, they said, is nothing like the bygone era of the    AT&T phone monopoly and the three broadcast networks’ TV oligopoly.      ",1,1,0,0.0,0,0,0.0,0,1,1,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0.0,0,1,0,55.0
397471,./htmls/Factiva-20240114-0309.html,2008-01-01 00:00:00,2008-01-21 00:00:00,72,&#x2018;Cable 3.0’ Is Aiming To Co-Opt Web 2.0’,"But do people really want to have Facebook-style applications, which could let them share videos and chat on-screen, on their TVs?      ",1,1,0,0.0,0,0,0.0,1,0,0,0.0,0.0,0,0,1,1,1,0,0,0,0,1,0.0,0,0,0,72.0
397631,./htmls/Factiva-20240114-0309.html,2008-01-01 00:00:00,2008-01-17 00:00:00,90,"Directors, Studios Reach New Contract; No Word Yet If DGA Tentative Accord Will Rekindle WGA Negotiations          ","Our fundamental goal in these negotiations was to protect our interests in the present while laying the groundwork for a future whose outlines are not yet clear,” Cates said. “We knew that gaining jurisdiction over new- media production and winning fair compensation for the reuse of our work on the Internet were the key issues for setting a framework for the future, but we also had to secure real gains for our members in today’s world.”       ",1,0,0,0.0,0,0,0.0,0,0,1,1.0,0.0,1,0,0,1,0,1,0,0,0,0,0.0,0,1,0,90.0
322287,./htmls/Factiva-20240114-0304 (1).html,2008-07-01 00:00:00,2008-07-21 00:00:00,2,Content,"In our initial phase, it's been the young adults and MTV audience that most have that instant passion to know what song moved them,” he said. “But this could also extend to channels outside of our family, and we've talked about that. But we want to get it right here first.”",1,1,0,0.0,0,0,0.0,1,0,0,0.0,0.0,0,0,1,1,1,1,0,0,0,0,0.0,0,0,1,2.0
322647,./htmls/Factiva-20240114-0304 (1).html,2008-07-01 00:00:00,2008-07-14 00:00:00,23,"Video  Use Up, All Over    ","Consumers are spending more time watching  video on every available platform, including computers and cellphones — and TV sets — according to a report on television consumption released July 8 by Nielsen.",1,1,0,0.0,0,0,0.0,1,0,0,0.0,0.0,0,0,1,1,1,0,0,0,0,1,0.0,0,0,0,23.0
322687,./htmls/Factiva-20240114-0304 (1).html,2008-07-01 00:00:00,2008-07-14 00:00:00,25,"Comcast Combats Complaints With Software; Can New Tools, Vigilance Improve Cable Giant’s Rep?    ","But in that time, it has built a different, negative reputation among subscribers, confirmed by independent research. It’s one the company is scrambling to erase, as customer service becomes a critical factor for consumers deciding where to spend $100 or more for an all-you-can-eat package of phone, high-speed Internet, and  video services.",1,1,0,0.0,0,0,1.0,0,0,0,1.0,0.0,0,0,0,1,0,0,0,1,0,1,0.0,0,1,0,25.0
345162,./htmls/Factiva-20240114-0304.html,2008-07-01 00:00:00,2008-07-21 00:00:00,87,Sun Shines for NBCOlympics.com,"Consumers are spending more time watching  video on every available platform, including computers and cellphones — and TV sets — according to a report on television consumption released July 8 by Nielsen.",1,1,0,0.0,0,0,0.0,1,0,0,0.0,0.0,0,0,1,1,0,0,0,0,0,1,0.0,0,0,0,87.0
345322,./htmls/Factiva-20240114-0304.html,2008-07-01 00:00:00,2008-07-21 00:00:00,93,Megachurches Seek a Higher-Def Authority,"Megachurches, which typically have at least 2,000 people in regular attendance at Sunday services, often incorporate large HD monitors and  video into the service. Some of the largest churches also send  video feeds to outside locations or have regular shows on broadcast or cable networks.",1,0,0,0.0,0,0,1.0,0,0,0,0.0,0.0,0,0,1,1,0,1,0,0,1,1,0.0,0,0,1,93.0
345522,./htmls/Factiva-20240114-0304.html,2008-07-01 00:00:00,2008-07-21 00:00:00,97,Forty Under Forty,"Currently, Kahn's team is building consumer-generated  content technologies that will enable subscribers to manage and push various forms of Web  content to their TVs. He also works to educate the industry on how to best incorporate user-generated  content applications.",1,0,0,0.0,0,0,0.0,1,0,0,0.0,0.0,0,1,1,1,0,1,0,0,1,1,0.0,1,0,0,97.0
345682,./htmls/Factiva-20240114-0304.html,2008-07-01 00:00:00,2008-07-21 00:00:00,99,Charter Builds Loyal Subs,The trial had two goals: to see if loyalty program members retained their services as a higher rate than a similarly situated control group; and to see if it improved revenue. Bellaria said the program proved itself on both points.,1,1,0,0.0,0,0,1.0,0,0,0,0.0,0.0,1,0,0,1,1,1,0,0,0,0,0.0,0,0,0,99.0
323708,./htmls/Factiva-20240114-0304 (1).html,2008 June,2008-06-23 00:00:00,72,High on Tech; Network Looks To A Future Beyond the Television Screen,"Lifetime is now building a new site for the channel that will incorporate a  video player from Brightcove, allowing for more prolific and more responsive  video content . In addition to summoning up movie clips, users will be able to assemble “mash-ups” using scenes from LMN films. That application, currently housed on Lifetime’s mylifetime.com site, will move to the new LMN portal when it’s launched in the fourth quarter. Surratt also has in development a community-conversation application that will be part of the new site.",1,1,0,0.0,0,0,1.0,0,0,0,0.0,0.0,0,0,1,1,1,0,0,0,0,1,0.0,0,0,0,72.0
323788,./htmls/Factiva-20240114-0304 (1).html,2008 June,2008-06-23 00:00:00,74,Facing the Future; Mounting Competition and Tech Changes Pose New Challenges,"Tru2way, formerly known as OpenCable, will allow the industry to introduce interactive services and advanced advertising services, which could produce significant new revenue streams in the future. And the upcoming PacketCable 2.0 technologies will allow operators to deploy multimedia or converged services, allowing consumers to access  video on a variety of devices and giving cable an alternative to the services Internet protocol-TV providers are touting.",1,0,0,0.0,0,0,0.0,0,0,0,1.0,1.0,0,1,1,1,0,0,0,1,0,1,1.0,0,0,0,74.0
324148,./htmls/Factiva-20240114-0304 (1).html,2008 June,2008-06-23 00:00:00,88,Big Ten Net Clinches Comcast Deal,"BTN president Mark Silverman said that the main reason for the lengthy negotiations was hammering out the VOD, HD and new  media portions of the deal.",1,1,0,0.0,0,1,0.0,0,0,0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,88.0
324308,./htmls/Factiva-20240114-0304 (1).html,2008 June,2008-06-16 00:00:00,98,True to the Brand,"That explains why Hefner remains upbeat even when the magazine and the domestic TV sides have struggled. In the fourth quarter of 2007,  online and mobile revenue increased even as other areas were lagging; and in the first quarter of 2008, the consumer products division and international TV continued to flourish even as much of the company took a hit.",1,1,0,0.0,0,1,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,98.0
54763,./htmls/Factiva-20240114-0307.html,2008-03-01 00:00:00,2008-03-03 00:00:00,25,Coda,"Comedy Central is a much more powerful brand and a much more successful network with a lot of great franchises than it was many years ago, when many of the current affiliation agreements were entered into,” Dauman said. “As we go forward we expect to have a constructive dialogue with our partners — both cable, satellite and telcos — about the value that we bring to them and their consumers and we expect to get nice rate increases.”      ",1,0,0,0.0,0,0,0.0,0,0,0,1.0,0.0,1,0,0,1,0,0,0,1,1,0,0.0,0,0,0,25.0
54883,./htmls/Factiva-20240114-0307.html,2008-03-01 00:00:00,2008-03-03 00:00:00,39,Vidéotron Gets Faster; Quebec Operator Crafts 50 Mbps Internet Service,"Vidéotron has also placed firm download caps on the offerings — 30 Gigabytes and 50 Gigabytes per month, respectively — to discourage bandwidth hogs.      ",1,1,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,1,0,1,1,0,0,1,0,0,0.0,0,0,0,39.0
55003,./htmls/Factiva-20240114-0307.html,2008-03-01 00:00:00,2008-03-03 00:00:00,41,"Making a Tween Scene;      Disney , Nick Rivalry Keeps the Hits Coming          ","Just as     Disney is upping the ante in animation, Nickelodeon has been going after the “family” market more in its Nick at Nite programming, boosting ratings with reruns of shows like The George Lopez Show . “Family viewing is a big opportunity for us going forward, especially in primetime,” Zarghami said.      ",1,1,0,0.0,0,0,0.0,1,0,0,0.0,0.0,0,0,1,1,1,0,0,0,1,0,0.0,0,0,0,41.0
79105,./htmls/Factiva-20240114-0306 (2).html,2008-03-01 00:00:00,2008-03-31 00:00:00,56,Content,"Most networks now use viewers’  online choices as countdown-type programming on their linear networks. “Viewers tell us what they want to get on the air,” GAC’s Trahern said.      ",1,1,0,0.0,0,1,0.0,0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,56.0
79185,./htmls/Factiva-20240114-0306 (2).html,2008-03-01 00:00:00,2008-03-31 00:00:00,60,Coda,"Gaedtke, reached via e-mail, confirmed that he will join Joost starting today (March 31). Joost and CableLabs representatives last week declined to comment. Joost’s previous chief technology officer, Dirk-Willem van Gulik, left the company to join the BBC’s Future  Media and Technology Group as chief technical architect earlier this year.      ",1,1,0,0.0,0,0,0.0,0,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,60.0
79545,./htmls/Factiva-20240114-0306 (2).html,2008-03-01 00:00:00,2008-03-24 00:00:00,80,When Capacity Is Never Enough; The Cautionary Tale of    Video  Downloads,"What Adelstein was talking about was Internet  video — and more specifically, the distribution of  movies , TV shows and other  content by a technique called peer-to-peer sharing.      ",1,1,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,1,0,1,1,1,0,0,1,0,0.0,0,0,0,80.0
141259,./htmls/Factiva-20240114-0306 (3).html,2008-03-01 00:00:00,2008-03-17 00:00:00,9,I Want My Web TV; The Most Avid    Online  Viewers Are Young. And They’re TV’s Audience of the Future,"To    MTV Networks president of global digital  media Mika Salmi, reaching hard-core  online viewers boils down to basics: Sling out as much  video as possible and make it easy to find.      ",1,1,0,0.0,0,0,0.0,0,1,0,0.0,0.0,0,0,1,1,1,1,0,0,1,0,0.0,0,0,0,71.0
141299,./htmls/Factiva-20240114-0306 (3).html,2008-03-01 00:00:00,2008-03-17 00:00:00,9,I Want My Web TV; The Most Avid    Online  Viewers Are Young. And They’re TV’s Audience of the Future,"Startup TidalTV, planning to launch in April, is aiming to go after the people who don’t watch a lot of  online video today.      ",1,1,0,0.0,0,0,0.0,1,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0
